Date,Coin name,Unit,Categorize,Source Link,Details
20180101,비트코인,BTC,미팅,http://naver.com,디테일 1
20180101,이더리움,BCH,하드포크,http://bithumb.com,디테일 2
20180102,비트코인,BTC,업비트 상장,http://google.com,디테일 3
20180103,비트코인캐시,BCH,하드포크,http://bithumb.com,디테일 4
20180104,라이트코인,LTC,미팅,http://upbit.com,디테일 5
20180105,이더리움,BCH,Bifinex 상장,http://bithumb.com,디테일 6
20180106,비트코인,BTC,업데이트,http://google.com,디테일 7
20180106,라이트코인,LTC,하드포크,http://naver.com,디테일 8
20180107,리플,XRP,업데이트,http://upbit.com,디테일 9
20180108,비트코인,BTC,하드포크,http://google.com,디테일 10
20180110,이더리움,BCH,하드포크,http://naver.com,디테일 11
20180125,라이트코인,LTC,소각,http://upbit.com,디테일 12
20180125,비트코인캐시,BCH,미팅,http://naver.com,디테일 13
20180126,비트코인,BTC,난이도 조절,http://upbit.com,디테일 14
20180128,비트코인캐시,BCH,소각,http://naver.com,디테일 15
20180129,비트코인,BTC,CBOE 상장,http://upbit.com,디테일 16
20180130,비트코인캐시,BCH,Bithumb 상장,http://naver.com,디테일 17
20180131,이더리움,BCH,기타,http://google.com,디테일 18
