Bitcoin,BTC,비트코인,,,
Ethereum,ETH,이더리움,,,
Bitcoin Cash,BCH,비트코인캐시,,,
Ripple,XRP,리플,,,
Litecoin,LTC,라이트코인,,,
Cardano,ADA,카르다노,,,
IOTA,MIOTA,아이오타,,,
Dash,DASH,대시,,,
NEM,XEM,넴,,,
Monero,XMR,모네로,,,
Bitcoin Gold,BTG,비트코인골드,,,
NEO,NEO,네오,,,
Stellar,XLM,스텔라,,,
EOS,EOS,이오스,,,
Ethereum Classic,ETC,이더리움클래식,,,
Qtum,QTUM,퀀텀,,,
TRON,TRX,트론,,,
Lisk,LSK,리스크,,,
BitConnect,BCC,비트커넥트,,,
Populous,PPT,파퓰러스,,,
OmiseGO,OMG,오세미고,,,
Zcash,ZEC,제트캐시,,,
Waves,WAVES,웨이브,,,
Stratis,STRAT,스트라티스,,,
Hshare,HSR,에이치쉐어,,,
Tether,USDT,테더,,,
BitShares,BTS,비트쉐어스,,,
Ardor,ARDR,아더,,,
Nxt,NXT,엔엑스티,,,
Bytecoin,BCN,바이트코인,,,
MonaCoin,MONA,모나코인,,,
Verge,XVG,버지,,,
Dogecoin,DOGE,도지코인,,,
Steem,STEEM,스팀,,,
Ark,ARK,아크,,,
Status,SNT,스테이터스,,,
Veritaseum,VERI,베리타지움,,,
Decred,DCR,데트레드,,,
Komodo,KMD,코모도,,,
Binance Coin,BNB,바이낸스,,,
Einsteinium,EMC2,아인스타이늄,,,
SALT,SALT,솔트,,,
Augur,REP,어거,,,
Siacoin,SC,시아코인,,,
Electroneum,ETN,일렉트로니움,,,
Golem,GNT,골렘,,,
PIVX,PIVX,피벡스,,,
VeChain,VEN,베체인,,,
TenX,PAY,텐엑스,,,
Vertcoin,VTC,버트코인,,,
Basic Attention Token,BAT,베이직어텐션토큰,,,
Byteball Bytes,GBYTE,바이트볼,,,
Power Ledger,POWR,파워렛저,,,
Kyber Network,KNC,카이버,,,
Gas,GAS,네오가스,,,
QASH,QASH,큐캐시,,,
RaiBlocks,XRB,레일블락,,,
DigiByte,DGB,디지바이트,,,
Bytom,BTM,바이텀,,,
Factom,FCT,팩텀,,,
MaidSafeCoin,MAID,메이드세이프코인,,,
DigixDAO,DGD,디직스다오,,,
Aeternity,AE,애터니티,,,
Syscoin,SYS,시스코인,,,
Santiment Network Token,SAN,샌티먼트네트워크토큰,,,
Walton,WTC,월튼,,,
ZCoin,XZC,지코인,,,
BitcoinDark,BTCD,비트코인다크,,,
GXShares,GXS,지엑스셰어,,,
Decentraland,MANA,디센트라랜드,,,
Cryptonex,CNX,크립토넥스,,,
0x,ZRX,제로엑스,,,
Nexus,NXS,넥서스,,,
Raiden Network Token,RDN,라이덴네트워크토큰,,,
Iconomi,ICN,아이코노미,,,
GameCredits,GAME,게임크레딧,,,
Gnosis,GNO,지노시스,,,
Dragonchain,DRGN,드래곤체인,,,
Request Network,REQ,리퀘스트네트워크,,,
FunFair,FUN,펀페어,,,
Monaco,MCO,모나코,,,
Metal,MTL,메탈,,,
Streamr DATAcoin,DATA,스트리머데이터코인,,,
PayPie,PPP,페이파이,,,
Civic,CVC,시빅,,,
Bancor,BNT,방코르,,,
BitBay,BAY,비트베이,,,
NAV Coin,NAV,나브코인,,,
Metaverse ETP,ETP,메타벌스ETP,,,
Blocknet,BLOCK,블록넷,,,
Peercoin,PPC,피어코인,,,
Edgeless,EDG,엣지리스,,,
Substratum,SUB,섭스트라텀,,,
Storj,STORJ,스토리지,,,
Dent,DENT,덴트,,,
SONM,SNM,SONM,,,
ChainLink,LINK,체인링크,,,
Revain,R,리베인,,,
Aion,AION,아이온,,,
Pura,PURA,퓨라,,,
Ethos,ETHOS,이도스,,,
Skycoin,SKY,스카이코인,,,
Ink,INK,잉크,,,
Kin,KIN,킨,,,
Ripio Credit Network,RCN,리피오크레딧네트워크,,,
RChain,RHOC,알체인,,,
Ubiq,UBQ,유빅,,,
Time New Bank,TNB,타임 뉴 뱅크,,,
Achain,ACT,A체인,,,
Quantstamp,QSP,퀀트스탬프,,,
AdEx,ADX,에이덱스,,,
ZenCash,ZEN,젠캐시,,,
Groestlcoin,GRS,그로스톨코인,,,
Loopring,LRC,루프링,,,
Jinn,JINN,진,,,
Aragon,ANT,아르곤,,,
DigitalNote,XDN,디지털노트,,,
SingularDTV,SNGLS,싱귤러디티비,,,
MinexCoin,MNX,마이넥스코인,,,
SmartCash,SMART,스마트캐쉬,,,
Asch,XAS,애쉬,,,
Cobinhood,COB,코빈후드,,,
Quantum Resistant Ledger,QRL,퀀텀레지스턴트렛저,,,
Pepe Cash,PEPECASH,페페캐쉬,,,
Enjin Coin,ENJ,엔진코인,,,
Particl,PART,파티클,,,
Counterparty,XCP,카운터파티,,,
Feathercoin,FTC,페더코인,,,
ATMChain,ATM,에이티엠체인,,,
ReddCoin,RDD,레드코인,,,
Mercury,MER,머큐리,,,
Rise,RISE,라이즈,,,
Wings,WINGS,윙스,,,
PotCoin,POT,팟코인,,,
WaBi,WABI,와비,,,
YOYOW,YOYOW,요요우,,,
iExec RLC,RLC,이젝알엘씨,,,
Viacoin,VIA,비아,,,
Agoras Tokens,AGRS,아고라스토큰,,,
Red Pulse,RPX,레드펄스,,,
Lykke,LKK,리크,,,
Voxels,VOX,복셀,,,
LBRY Credits,LBC,LBRY크레딧,,,
Delphy,DPY,델피,,,
Eidoo,EDO,아이두,,,
ETHLend,LEND,이더리움렌드,,,
CloakCoin,CLOAK,클락코인,,,
Humaniq,HMQ,휴매닉,,,
Namecoin,NMC,네임코인,,,
MobileGo,MGO,모바일고,,,
KuCoin Shares,KCS,쿠코인셰어,,,
Aeon,AEON,이온,,,
Cofound.it,CFI,코파운드잇,,,
Enigma,ENG,에니그마,,,
FairCoin,FAIR,페어코인,,,
Po.et,POE,포엣,,,
WhiteCoin,XWC,화이트코인,,,
Hive,HVN,하이브,,,
Matchpool,GUP,매치풀,,,
Emercoin,EMC,이멀코인,,,
FirstBlood,1ST,퍼스트블러드,,,
Tierion,TNT,티어리온,,,
Crown,CRW,크라운,,,
CoinDash,CDT,코인대시,,,
XP,XP,엑스피,,,
Neblio,NEBL,네블리오,,,
Ambrosus,AMB,앰브로서스,,,
Paypex,PAYX,페이펙스,,,
district0x,DNT,디스트릭톡스,,,
Gulden,NLG,굴덴,,,
Pillar,PLR,필라,,,
Blocktix,TIX,블록틱스,,,
Melon,MLN,멜론,,,
Burst,BURST,버스트,,,
XTRABYTES,XBY,엑스트라바이트,,,
Centra,CTR,센트라,,,
Steem Dollars,SBD,스팀달러,,,
DECENT,DCT,디센트,,,
Bodhi,BOT,보디,,,
ION,ION,아이온,,,
Wagerr,WGR,와거,,,
AirSwap,AST,에어스왑,,,
BLOCKv,VEE,블락브이,,,
SIBCoin,SIB,시브코인,,,
Diamond,DMD,다이아몬드,,,
Cindicator,CND,신디케이터,,,
Open Trading Network,OTN,오픈트레이딩네트워크,,,
WeTrust,TRST,웨트러스트,,,
I/O Coin,IOC,아이오코인,,,
Etherparty,FUEL,이더파티,,,
OKCash,OK,오케이캐쉬,,,
BlackCoin,BLK,블랙코인,,,
Modum,MOD,모덤,,,
TaaS,TAAS,타스,,,
